Seedlings transplanted,Harvested produce mass (kg),Marketable produce mass (kg),Target canopy temperature (C),Measured canopy temperature (C),Planned irrigation volume (liters),Delivered irrigation volume (liters),Target nutrient conductivity (mS/cm),Measured nutrient conductivity (mS/cm),Lamps scheduled,Lamps operational,Estimated energy charge (USD),Final energy invoice (USD),Planned labor hours,Actual labor hours,Crop loss rate (%),Marketable yield rate (%),Ventilation runtime (minutes)
1240,812.4,764.1,23.5,23.8,4100,4055,2.2,2.18,48,47,684.0,701.5,126,131,4.8,91.6,420
1275,829.1,781.0,23.5,23.4,4150,4178,2.2,2.23,48,48,691.5,695.2,128,127,4.2,92.4,395
1210,795.8,738.4,23.0,24.1,3980,3915,2.15,2.09,46,44,662.2,709.8,122,136,6.7,88.9,510
1315,856.2,817.5,23.0,22.9,4300,4282,2.15,2.16,50,50,718.4,714.9,132,130,3.6,94.1,365
1290,842.7,799.3,23.5,23.7,4210,4245,2.2,2.25,49,48,704.7,721.0,130,134,4.4,92.8,438
1185,776.3,709.2,23.0,24.4,3890,3812,2.15,2.04,45,42,648.9,703.6,119,139,7.5,87.6,552
1330,871.5,836.0,23.5,23.3,4370,4392,2.2,2.21,51,51,729.3,726.1,134,132,3.2,94.8,348
1255,819.6,770.8,23.0,23.6,4060,4094,2.15,2.19,47,46,676.8,689.4,125,129,5.1,91.1,447
1285,838.9,794.7,23.5,23.2,4190,4168,2.2,2.17,49,49,699.6,697.3,129,128,4.0,93.0,379
1205,789.4,731.6,23.0,24.0,3960,3888,2.15,2.08,46,43,657.1,700.5,121,135,6.4,89.3,526
1320,862.8,824.9,23.5,23.5,4330,4341,2.2,2.22,50,50,722.0,719.8,133,131,3.4,94.4,356
1235,806.7,755.5,23.0,23.9,4020,3976,2.15,2.11,47,45,669.4,692.7,124,132,5.6,90.5,472
