order_id,order_date,region,revenue,marketing_spend
ON0001,2025-01-20,north,1530,109
ON0002,2025-01-20,south,1557,127
ON0003,2025-01-20,east,1584,145
ON0004,2025-01-20,north,1611,163
ON0005,2025-01-20,south,1638,181
ON0006,2025-01-20,east,1665,199
ON0007,2025-01-20,north,1692,109
ON0008,2025-01-20,south,1719,127
ON0009,2025-01-20,east,1746,145
ON0010,2025-01-20,north,1773,163
ON0011,2025-01-20,south,1800,181
ON0012,2025-01-20,east,1827,199
ON0013,2025-01-20,north,1854,109
ON0014,2025-01-20,south,1881,127
ON0015,2025-01-20,east,1908,145
ON0016,2025-01-20,north,1935,163
ON0017,2025-01-20,south,1962,181
ON0018,2025-01-20,east,1989,199
ON0019,2025-02-20,north,1640,118
ON0020,2025-02-20,south,1667,136
ON0021,2025-02-20,east,1694,154
ON0022,2025-02-20,north,1721,172
ON0023,2025-02-20,south,1748,190
ON0024,2025-02-20,east,1775,208
ON0025,2025-02-20,north,1802,118
ON0026,2025-02-20,south,1829,136
ON0027,2025-02-20,east,1856,154
ON0028,2025-02-20,north,1883,172
ON0029,2025-02-20,south,1910,190
ON0030,2025-02-20,east,1937,208
ON0031,2025-02-20,north,1964,118
ON0032,2025-02-20,south,1991,136
ON0033,2025-02-20,east,2018,154
ON0034,2025-02-20,north,2045,172
ON0035,2025-02-20,south,2072,190
ON0036,2025-02-20,east,2099,208
ON0037,2025-03-20,north,1750,127
ON0038,2025-03-20,south,1777,145
ON0039,2025-03-20,east,1804,163
ON0040,2025-03-20,north,1831,181
ON0041,2025-03-20,south,1858,199
ON0042,2025-03-20,east,1885,217
ON0043,2025-03-20,north,1912,127
ON0044,2025-03-20,south,1939,145
ON0045,2025-03-20,east,1966,163
ON0046,2025-03-20,north,1993,181
ON0047,2025-03-20,south,2020,199
ON0048,2025-03-20,east,2047,217
ON0049,2025-03-20,north,2074,127
ON0050,2025-03-20,south,2101,145
ON0051,2025-03-20,east,2128,163
ON0052,2025-03-20,north,2155,181
ON0053,2025-03-20,south,2182,199
ON0054,2025-03-20,east,2209,217
ON0055,2025-04-20,north,1860,136
ON0056,2025-04-20,south,1887,154
ON0057,2025-04-20,east,1914,172
ON0058,2025-04-20,north,1941,190
ON0059,2025-04-20,south,1968,208
ON0060,2025-04-20,east,1995,226
ON0061,2025-04-20,north,2022,136
ON0062,2025-04-20,south,2049,154
ON0063,2025-04-20,east,2076,172
ON0064,2025-04-20,north,2103,190
ON0065,2025-04-20,south,2130,208
ON0066,2025-04-20,east,2157,226
ON0067,2025-04-20,north,2184,136
ON0068,2025-04-20,south,2211,154
ON0069,2025-04-20,east,2238,172
ON0070,2025-04-20,north,2265,190
ON0071,2025-04-20,south,2292,208
ON0072,2025-04-20,east,2319,226
ON0073,2025-05-20,north,1970,145
ON0074,2025-05-20,south,1997,163
ON0075,2025-05-20,east,2024,181
ON0076,2025-05-20,north,2051,199
ON0077,2025-05-20,south,2078,217
ON0078,2025-05-20,east,2105,235
ON0079,2025-05-20,north,2132,145
ON0080,2025-05-20,south,2159,163
ON0081,2025-05-20,east,2186,181
ON0082,2025-05-20,north,2213,199
ON0083,2025-05-20,south,2240,217
ON0084,2025-05-20,east,2267,235
ON0085,2025-05-20,north,2294,145
ON0086,2025-05-20,south,2321,163
ON0087,2025-05-20,east,2348,181
ON0088,2025-05-20,north,2375,199
ON0089,2025-05-20,south,2402,217
ON0090,2025-05-20,east,2429,235
ON0091,2025-06-20,north,2080,154
ON0092,2025-06-20,south,2107,172
ON0093,2025-06-20,east,2134,190
ON0094,2025-06-20,north,2161,208
ON0095,2025-06-20,south,2188,226
ON0096,2025-06-20,east,2215,244
ON0097,2025-06-20,north,2242,154
ON0098,2025-06-20,south,2269,172
ON0099,2025-06-20,east,2296,190
ON0100,2025-06-20,north,2323,208
ON0101,2025-06-20,south,2350,226
ON0102,2025-06-20,east,2377,244
ON0103,2025-06-20,north,2404,154
ON0104,2025-06-20,south,2431,172
ON0105,2025-06-20,east,2458,190
ON0106,2025-06-20,north,2485,208
ON0107,2025-06-20,south,2512,226
ON0108,2025-06-20,east,2539,244
