order_id,order_date,region,revenue,marketing_spend
RT0001,2025-01-20,north,1190,109
RT0002,2025-01-20,south,1217,127
RT0003,2025-01-20,east,1244,145
RT0004,2025-01-20,north,1271,163
RT0005,2025-01-20,south,1298,181
RT0006,2025-01-20,east,1325,199
RT0007,2025-01-20,north,1352,109
RT0008,2025-01-20,south,1379,127
RT0009,2025-01-20,east,1406,145
RT0010,2025-01-20,north,1433,163
RT0011,2025-01-20,south,1460,181
RT0012,2025-01-20,east,1487,199
RT0013,2025-01-20,north,1514,109
RT0014,2025-01-20,south,1541,127
RT0015,2025-01-20,east,1568,145
RT0016,2025-01-20,north,1595,163
RT0017,2025-01-20,south,1622,181
RT0018,2025-01-20,east,1649,199
RT0019,2025-02-20,north,1300,118
RT0020,2025-02-20,south,1327,136
RT0021,2025-02-20,east,1354,154
RT0022,2025-02-20,north,1381,172
RT0023,2025-02-20,south,1408,190
RT0024,2025-02-20,east,1435,208
RT0025,2025-02-20,north,1462,118
RT0026,2025-02-20,south,1489,136
RT0027,2025-02-20,east,1516,154
RT0028,2025-02-20,north,1543,172
RT0029,2025-02-20,south,1570,190
RT0030,2025-02-20,east,1597,208
RT0031,2025-02-20,north,1624,118
RT0032,2025-02-20,south,1651,136
RT0033,2025-02-20,east,1678,154
RT0034,2025-02-20,north,1705,172
RT0035,2025-02-20,south,1732,190
RT0036,2025-02-20,east,1759,208
RT0037,2025-03-20,north,1410,127
RT0038,2025-03-20,south,1437,145
RT0039,2025-03-20,east,1464,163
RT0040,2025-03-20,north,1491,181
RT0041,2025-03-20,south,1518,199
RT0042,2025-03-20,east,1545,217
RT0043,2025-03-20,north,1572,127
RT0044,2025-03-20,south,1599,145
RT0045,2025-03-20,east,1626,163
RT0046,2025-03-20,north,1653,181
RT0047,2025-03-20,south,1680,199
RT0048,2025-03-20,east,1707,217
RT0049,2025-03-20,north,1734,127
RT0050,2025-03-20,south,1761,145
RT0051,2025-03-20,east,1788,163
RT0052,2025-03-20,north,1815,181
RT0053,2025-03-20,south,1842,199
RT0054,2025-03-20,east,1869,217
RT0055,2025-04-20,north,1520,136
RT0056,2025-04-20,south,1547,154
RT0057,2025-04-20,east,1574,172
RT0058,2025-04-20,north,1601,190
RT0059,2025-04-20,south,1628,208
RT0060,2025-04-20,east,1655,226
RT0061,2025-04-20,north,1682,136
RT0062,2025-04-20,south,1709,154
RT0063,2025-04-20,east,1736,172
RT0064,2025-04-20,north,1763,190
RT0065,2025-04-20,south,1790,208
RT0066,2025-04-20,east,1817,226
RT0067,2025-04-20,north,1844,136
RT0068,2025-04-20,south,1871,154
RT0069,2025-04-20,east,1898,172
RT0070,2025-04-20,north,1925,190
RT0071,2025-04-20,south,1952,208
RT0072,2025-04-20,east,1979,226
RT0073,2025-05-20,north,1630,145
RT0074,2025-05-20,south,1657,163
RT0075,2025-05-20,east,1684,181
RT0076,2025-05-20,north,1711,199
RT0077,2025-05-20,south,1738,217
RT0078,2025-05-20,east,1765,235
RT0079,2025-05-20,north,1792,145
RT0080,2025-05-20,south,1819,163
RT0081,2025-05-20,east,1846,181
RT0082,2025-05-20,north,1873,199
RT0083,2025-05-20,south,1900,217
RT0084,2025-05-20,east,1927,235
RT0085,2025-05-20,north,1954,145
RT0086,2025-05-20,south,1981,163
RT0087,2025-05-20,east,2008,181
RT0088,2025-05-20,north,2035,199
RT0089,2025-05-20,south,2062,217
RT0090,2025-05-20,east,2089,235
RT0091,2025-06-20,north,1740,154
RT0092,2025-06-20,south,1767,172
RT0093,2025-06-20,east,1794,190
RT0094,2025-06-20,north,1821,208
RT0095,2025-06-20,south,1848,226
RT0096,2025-06-20,east,1875,244
RT0097,2025-06-20,north,1902,154
RT0098,2025-06-20,south,1929,172
RT0099,2025-06-20,east,1956,190
RT0100,2025-06-20,north,1983,208
RT0101,2025-06-20,south,2010,226
RT0102,2025-06-20,east,2037,244
RT0103,2025-06-20,north,2064,154
RT0104,2025-06-20,south,2091,172
RT0105,2025-06-20,east,2118,190
RT0106,2025-06-20,north,2145,208
RT0107,2025-06-20,south,2172,226
RT0108,2025-06-20,east,2199,244
