case_id,runs,case_kind,pass_rate,planner_family_accuracy,planner_binding_accuracy,planner_first_pass_rate,planner_retry_rate,planner_retry_classes,planner_retry_recovery_rate,planner_normalization_rate,tool_selection_accuracy,tool_argument_accuracy,tool_first_pass_rate,tool_retry_rate,tool_retry_recovery_rate,execution_accuracy,guardrail_accuracy,latency_mean_seconds,latency_median_seconds,planner_statuses,requested_tools,failure_count
categorical_overtime_left,1,executable,1.0,1.0,1.0,1.0,0.0,none,,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.9517,3.9517,validated,run_categorical_association,0
distribution_salary,1,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.9676,3.9676,validated,run_distribution,0
group_salary_department,1,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.801,3.801,validated,run_group_comparison,0
guardrail_missing_year,1,guardrail,1.0,1.0,,0.0,1.0,guardrail_abstention,1.0,0.0,,,,,,1.0,1.0,8.0386,8.0386,blocked,none,0
quantitative_salary_training,1,executable,1.0,1.0,1.0,1.0,0.0,none,,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,6.1708,6.1708,validated,run_quantitative_association,0
sales_categorical_channel_returned,1,executable,0.0,0.0,0.0,0.0,1.0,unresolved_retry,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,7.8291,7.8291,rejected,none,1
sales_distribution_revenue,1,executable,1.0,1.0,1.0,1.0,0.0,none,,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.8736,3.8736,validated,run_distribution,0
sales_group_revenue_region,1,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.8518,3.8518,validated,run_group_comparison,0
sales_guardrail_missing_profit,1,guardrail,0.0,1.0,,1.0,0.0,none,,1.0,,,,,,0.0,0.0,3.92,3.92,validated,run_distribution,1
sales_quantitative_revenue_marketing,1,executable,1.0,1.0,1.0,1.0,0.0,none,,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,4.279,4.279,validated,run_quantitative_association,0
sales_time_revenue_order_date,1,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,4.1886,4.1886,validated,run_time_series,0
time_salary_snapshot,1,executable,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,4.3395,4.3395,validated,run_time_series,0
