case_id,repeat_index,objective,expected_family,planner_status,planner_family,planner_family_correct,planner_bindings_correct,planner_outcome_correct,dataset_selection_applicable,dataset_selection_correct,expected_dataset_filenames,actual_dataset_filenames,planner_attempt_count,planner_retry_count,planner_first_pass,planner_recovered_after_retry,planner_retry_class,planner_normalization_count,expected_tool,requested_tool,tool_selection_correct,tool_arguments_correct,tool_attempt_count,tool_retry_count,tool_first_pass,tool_recovered_after_retry,should_execute,execution_observed,execution_correct,chart_type_expected,chart_type_observed,chart_type_correct,guardrail_correct,case_pass,latency_seconds,planner_rule_version,native_tool_rule_version,pipeline_rule_version,failure_reasons
hard_exact_net_revenue_distribution,1,Analyser la distribution de net_revenue.,distribution,validated,distribution,True,True,True,True,True,semantic_collision_benchmark.csv,semantic_collision_benchmark.csv,1,0,True,False,none,1,run_distribution,run_distribution,True,True,1,0,True,False,True,True,True,histogram,histogram,True,True,True,8.6072,ai_analytical_planner_v0.14,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hard_ambiguous_performance_region,1,Analyse la performance par region.,unresolved,ambiguous,group_comparison,True,True,True,False,True,,,1,0,True,False,none,3,,,True,True,0,0,True,False,False,False,True,,,True,True,True,3.4942,ai_analytical_planner_v0.14,,ai_native_pipeline_v0.2,
hard_multi_dataset_online_explicit,1,"Dans le dataset online_sales.csv, analyse la distribution de revenue.",distribution,validated,distribution,True,True,True,True,True,online_sales.csv,online_sales.csv,1,0,True,False,none,1,run_distribution,run_distribution,True,True,1,0,True,False,True,True,True,histogram,histogram,True,True,True,3.7482,ai_analytical_planner_v0.14,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hard_multi_dataset_retail_explicit,1,"In dataset retail_sales.csv, track median revenue over order_date.",time_series,validated,time_series,True,True,True,True,True,retail_sales.csv,retail_sales.csv,1,0,True,False,none,0,run_time_series,run_time_series,True,True,1,0,True,False,True,True,True,line_band,line_band,True,True,True,4.4594,ai_analytical_planner_v0.14,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hard_multi_dataset_unspecified,1,Analyser la distribution de revenue.,distribution,ambiguous,distribution,True,True,True,False,True,,,1,0,True,False,none,0,,,True,True,0,0,True,False,False,False,True,,,True,True,True,3.6183,ai_analytical_planner_v0.14,,ai_native_pipeline_v0.2,
hard_exact_net_revenue_distribution,2,Analyser la distribution de net_revenue.,distribution,validated,distribution,True,True,True,True,True,semantic_collision_benchmark.csv,semantic_collision_benchmark.csv,1,0,True,False,none,1,run_distribution,run_distribution,True,True,1,0,True,False,True,True,True,histogram,histogram,True,True,True,3.8748,ai_analytical_planner_v0.14,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hard_ambiguous_performance_region,2,Analyse la performance par region.,unresolved,ambiguous,group_comparison,True,True,True,False,True,,,1,0,True,False,none,3,,,True,True,0,0,True,False,False,False,True,,,True,True,True,3.5182,ai_analytical_planner_v0.14,,ai_native_pipeline_v0.2,
hard_multi_dataset_online_explicit,2,"Dans le dataset online_sales.csv, analyse la distribution de revenue.",distribution,validated,distribution,True,True,True,True,True,online_sales.csv,online_sales.csv,1,0,True,False,none,1,run_distribution,run_distribution,True,True,1,0,True,False,True,True,True,histogram,histogram,True,True,True,3.6811,ai_analytical_planner_v0.14,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hard_multi_dataset_retail_explicit,2,"In dataset retail_sales.csv, track median revenue over order_date.",time_series,validated,time_series,True,True,True,True,True,retail_sales.csv,retail_sales.csv,1,0,True,False,none,0,run_time_series,run_time_series,True,True,1,0,True,False,True,True,True,line_band,line_band,True,True,True,4.2618,ai_analytical_planner_v0.14,native_tool_calling_v0.6,ai_native_pipeline_v0.2,
hard_multi_dataset_unspecified,2,Analyser la distribution de revenue.,distribution,ambiguous,distribution,True,True,True,False,True,,,1,0,True,False,none,0,,,True,True,0,0,True,False,False,False,True,,,True,True,True,3.4305,ai_analytical_planner_v0.14,,ai_native_pipeline_v0.2,
