case_id,runs,case_kind,pass_rate,planner_family_accuracy,planner_binding_accuracy,planner_dataset_selection_accuracy,planner_first_pass_rate,planner_retry_rate,planner_retry_classes,planner_retry_recovery_rate,planner_normalization_rate,tool_selection_accuracy,tool_argument_accuracy,tool_first_pass_rate,tool_retry_rate,tool_retry_recovery_rate,execution_accuracy,guardrail_accuracy,latency_mean_seconds,latency_median_seconds,planner_statuses,requested_tools,failure_count
hard_ambiguous_performance_region,1,guardrail,1.0,1.0,,,1.0,0.0,none,,1.0,,,,,,1.0,1.0,3.46,3.46,ambiguous,none,0
hard_ambiguous_results_over_time,1,guardrail,1.0,1.0,,,0.0,1.0,guardrail_abstention,1.0,0.0,,,,,,1.0,1.0,7.6405,7.6405,rejected,none,0
hard_categorical_returned_channel,1,executable,1.0,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.922,3.922,validated,run_categorical_association,0
hard_exact_net_revenue_distribution,1,executable,1.0,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.8422,3.8422,validated,run_distribution,0
hard_exact_profit_margin_distribution,1,executable,1.0,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.7786,3.7786,validated,run_distribution,0
hard_exact_revenue_distribution,1,executable,1.0,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,6.083,6.083,validated,run_distribution,0
hard_group_gross_profit_region,1,executable,1.0,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.8605,3.8605,validated,run_group_comparison,0
hard_missing_margin_no_substitution,1,guardrail,1.0,1.0,,,0.0,1.0,guardrail_abstention,1.0,0.0,,,,,,1.0,1.0,7.8888,7.8888,blocked,none,0
hard_mixed_revenue_region,1,executable,1.0,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.8047,3.8047,validated,run_group_comparison,0
hard_multi_dataset_cross_compare,1,guardrail,1.0,1.0,,,1.0,0.0,none,,0.0,,,,,,1.0,1.0,3.6124,3.6124,blocked,none,0
hard_multi_dataset_online_explicit,1,executable,1.0,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,3.7048,3.7048,validated,run_distribution,0
hard_multi_dataset_retail_explicit,1,executable,1.0,1.0,1.0,1.0,1.0,0.0,none,,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,4.2258,4.2258,validated,run_time_series,0
hard_multi_dataset_unspecified,1,guardrail,1.0,1.0,,,1.0,0.0,none,,1.0,,,,,,1.0,1.0,3.4253,3.4253,ambiguous,none,0
hard_time_fiscal_period_exact,1,executable,1.0,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,4.0696,4.0696,validated,run_time_series,0
hard_time_order_date_exact,1,executable,1.0,1.0,1.0,1.0,1.0,0.0,none,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,4.1762,4.1762,validated,run_time_series,0
hard_unsupported_categorical_distribution,1,guardrail,1.0,1.0,,,0.0,1.0,guardrail_abstention,1.0,1.0,,,,,,1.0,1.0,7.1343,7.1343,rejected,none,0
